scenario,scenario_desc,rep,method,RMSE_overall,RMSE_global,RMSE_local,Prec_global,Rec_global,F1_global,runtime_sec
B,"B (flat global, hetero locals)",2,HP-mean,0.06710408713688212,0.0029544517688378505,0.05970116809030455,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",3,GLASS-E,0.016025385720438618,0.004442426938528245,0.023250765447791914,0.0,0.0,0.0,0.12352967262268066
B,"B (flat global, hetero locals)",3,ITF,0.016355756725919855,0.003314278252704419,0.02330998183081276,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",3,Theil-Sen,0.030051112385689308,0.002990340495410502,0.0196267138197674,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",3,LLT,0.03638744300385324,0.005270209091128457,0.030371586478480782,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",3,HP-mean,0.061453716408302946,0.0022680685783785072,0.05222244017281871,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",4,GLASS-E,0.01517779348862577,0.0046694974961144445,0.021701726008396687,0.0,0.0,0.0,0.11204409599304199
B,"B (flat global, hetero locals)",4,ITF,0.015293911600927291,0.004557885821327122,0.021913940175702643,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",4,Theil-Sen,0.03169171323825835,0.003321978973478068,0.015911481912846998,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",4,LLT,0.03637407514031077,0.005291127651107259,0.031120545935723044,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",4,HP-mean,0.05947687314323615,0.003391959986738174,0.052232406348373485,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",5,GLASS-E,0.014594754646376095,0.00495548709535102,0.023134203756602804,0.0,0.0,0.0,0.10429215431213379
B,"B (flat global, hetero locals)",5,ITF,0.014567587130791029,0.0034138284750248023,0.023112110086348815,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",5,Theil-Sen,0.030948326396665293,0.0037336928588332023,0.018354032404982287,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",5,LLT,0.036536912802748636,0.00528946094478272,0.031535744068528423,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",5,HP-mean,0.05819824168047409,0.002385848554417239,0.052932126487495866,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",6,GLASS-E,0.009553843129195834,0.002575328620384754,0.02534696321511857,0.0,0.0,0.0,0.17723298072814941
B,"B (flat global, hetero locals)",6,ITF,0.009602050970767278,0.0035703895389261934,0.025416100669719808,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",6,Theil-Sen,0.030550046292880148,0.0016360728383283552,0.015922647000880776,0.0,0.0,0.0,
